n_estimators,max_depth,criterion,F1_promedio,Recall_promedio,Accuracy_promedio
100,3,gini,0.234,0.2067,0.4875
200,3,gini,0.2738,0.2467,0.5
300,3,gini,0.3002,0.28,0.5125
100,5,gini,0.2888,0.2733,0.5
200,5,gini,0.3015,0.28,0.5125
300,5,gini,0.3298,0.3133,0.525
100,7,gini,0.2943,0.2733,0.5125
200,7,gini,0.3442,0.3133,0.525
300,7,gini,0.368,0.3467,0.525
100,3,entropy,0.2471,0.2133,0.5
200,3,entropy,0.2764,0.2467,0.5125
300,3,entropy,0.2682,0.2467,0.475
100,5,entropy,0.3,0.2733,0.5125
200,5,entropy,0.3015,0.28,0.5125
300,5,entropy,0.2995,0.28,0.5125
100,7,entropy,0.3365,0.3067,0.5375
200,7,entropy,0.3533,0.34,0.5375
300,7,entropy,0.4009,0.38,0.55
